Farmer ID,CropArea_Ha,YearName,MonthNumber,WeekNumber,QuantityKg
17082,1.1406,2019,9,39,44.9
2737,0.1047,2023,6,23,41.4
1723,0.2907,2019,3,13,92.9
2725,0.2155,2023,6,25,135.3
1054,0.2737,2023,11,46,56.2
17137,0.4878,2019,10,40,56.1
1374,0.8845,2020,9,38,24.3
21473,0.1848,2023,9,36,31.9
1043,0.3248,2023,9,37,68.6
2560,0.2883,2019,5,20,160.5
1966,0.1239,2020,5,18,5.4
988,0.2893,2023,10,40,35.5
17855,0.1152,2023,8,32,18.5
17305,0.3887,2023,3,13,5.9
964,0.8135,2022,6,25,27.8
2194,0.0942,2019,8,34,109.6
1133,3.5,2023,6,22,211.1
951,0.9085,2020,5,19,179.1
17380,0.8,2022,9,37,4.2
920,1.6542,2023,1,2,513.5
2014,0.3934,2020,3,11,92.3
1166,2.4562,2023,2,5,147.4
2802,1.3117,2022,11,49,136.6
2413,0.2117,2023,11,47,13.9
17428,0.2239,2020,4,16,14
1944,1,2020,1,4,64.9
17441,0.8341,2020,9,39,38.2
15612,0.1362,2020,10,41,33.3
594,0.0218,2023,10,43,241.8
17873,0.1379,2022,2,9,33.2
1803,0.8059,2019,12,49,274.9
2493,0.2424,2021,5,21,140.4
16671,0.1847,2020,10,41,54.4
823,0.2,2022,1,4,149.3
957,0.1258,2023,12,53,21.7
1055,2.1183,2023,5,22,89.7
2739,0.6207,2021,6,24,56.4
659,0.96,2020,3,10,119
17099,0.3287,2023,5,19,21.4
17392,0.09,2021,3,13,52.1
17320,0.2916,2019,7,31,13
15534,0.0817,2022,11,46,7.3
15031,0.7198,2022,2,9,3.2
691,0.98,2020,12,53,36.1
16834,0.5296,2021,3,14,96.3
1263,0.3894,2020,4,15,230.7
988,0.2893,2022,12,53,17.3
2078,0.7242,2021,12,53,57.3
1745,0.7464,2021,1,1,12.2
1484,0.21,2019,4,14,236.2
1205,1.7154,2022,9,38,93.5
2402,0.6185,2020,6,24,50.3
1613,0.3672,2019,12,50,85.9
858,0.9663,2019,3,13,207.2
476,4.7176,2019,7,28,81.5
1234,0.7008,2021,1,2,191.4
1327,0.7936,2022,8,35,51.2
924,1.184,2020,8,33,488.4
2027,0.1257,2020,8,34,122.5
2621,0.2892,2019,9,36,33.3
17084,0.1927,2019,6,26,32.4
2356,0.1364,2022,6,27,52.8
1142,0.3061,2023,10,44,10.8
1063,3,2020,4,18,6
2254,1.2,2022,11,48,372
17269,0.3749,2020,12,53,230.4
2229,0.143,2020,8,31,16.6
2129,0.8014,2020,3,13,47.1
17304,1.6966,2019,9,36,54.5
15066,6,2022,11,46,868.1
17222,0.018,2019,7,31,67.5
2351,0.4717,2020,7,28,18.4
2076,0.7383,2021,4,17,81.8
17238,0.1765,2020,4,17,55.9
2058,1.6771,2021,1,4,43.1
2204,0.5502,2019,8,32,748.3
17820,0.3366,2023,12,48,41.7
515,4.385,2020,4,17,606.3
501,2.2364,2023,12,51,779.2
17096,0.5718,2023,11,47,118.7
822,0.273,2023,1,2,11
1238,0.3529,2019,10,42,34
2555,1.2,2023,9,35,9.6
518,2.194,2019,6,24,681.2
650,1.5111,2023,4,16,76.1
947,3,2020,1,5,66.1
2168,0.7278,2023,7,29,153.3
15599,0.0805,2022,8,32,14.7
17832,0.0309,2021,5,20,13.9
2250,0.5231,2021,9,39,166.6
17221,0.128,2019,6,24,9.6
17286,0.0978,2023,11,46,37
538,2.3531,2020,5,20,128.7
17843,0.2997,2020,5,20,12.1
15572,0.4811,2022,2,6,42.7
1509,0.5776,2020,9,40,297.6
924,1.184,2021,3,11,284.1
2186,0.5,2019,5,19,5.4
2022,0.2995,2020,6,26,126.9
1229,0.243,2021,3,12,27
1048,0.2924,2019,10,43,12.5
496,0.8056,2020,6,24,346.2
2039,0.0512,2020,8,32,51.9
773,1.1603,2021,10,41,151.7
2416,0.3514,2022,8,36,32.8
1005,0.4826,2019,10,40,29.7
1884,0.5608,2019,3,12,298.6
21168,0.3822,2023,8,35,47.5
2223,0.4232,2019,6,25,72
1495,2.0267,2020,3,10,129.7
2131,0.3869,2020,11,49,81.5
2805,0.8097,2019,9,38,14.8
1229,0.243,2023,6,25,11.6
589,0.2939,2022,8,35,90
2132,0.4007,2020,9,38,25.6
1983,1.2433,2021,3,11,140.9
15600,0.1272,2023,6,26,41.6
742,0.5242,2020,4,18,87
17224,0.7898,2019,12,49,4.8
1321,0.4743,2021,8,33,58.7
2340,1.1804,2020,12,50,33.9
2175,0.7628,2021,11,46,119.8
921,2.005,2020,2,8,487.3
17366,0.2261,2021,5,20,45.8
15098,0.2344,2023,12,49,80.2
2092,1.0338,2023,11,47,221.5
2779,0.1819,2021,12,51,30.2
553,0.0946,2020,2,8,97.7
2469,0.1915,2019,7,28,14.2
1750,0.4894,2020,1,4,55.7
19260,0.5501,2020,10,44,32.1
590,0.1784,2022,6,24,11
1072,0.188,2023,3,10,14.8
1102,0.2189,2019,12,51,8.8
1392,1.2237,2020,1,2,315.4
17849,0.3661,2021,10,44,253.4
663,0.7461,2021,7,29,24.5
738,0.2592,2023,9,36,36.4
2806,0.1442,2019,7,27,18.8
17212,0.3837,2019,12,51,71.7
14935,0.3653,2020,1,4,47.1
15648,0.0408,2019,11,44,11.9
17073,0.2757,2022,12,49,15.3
21205,0.5867,2023,5,19,182.5
17053,0.9928,2020,6,26,126.9
769,1.2163,2022,8,36,146.9
17084,0.1927,2021,8,36,24.1
1987,0.2671,2019,12,51,180.7
17816,0.5084,2020,8,34,8.4
1670,1.5448,2021,6,26,143.2
898,0.4084,2020,10,40,52.3
17817,0.257,2020,6,23,45.5
1900,0.2775,2023,3,12,23.2
1988,0.05,2019,10,40,13.6
2278,0.9863,2019,9,40,38.1
17852,0.8318,2019,9,37,13.2
2760,1.058,2020,6,26,160.3
2205,0.6,2023,8,35,52.6
2065,1.3158,2023,6,25,47.6
752,0.1655,2022,3,12,49.1
1193,0.4723,2022,9,40,88.2
2464,0.1528,2021,7,30,25.4
1197,0.8171,2022,6,23,50.4
2634,0.5343,2019,10,41,51.3
1352,0.6812,2023,3,11,56.2
2022,0.2995,2019,4,17,16
2142,0.8568,2020,9,36,635.2
1424,0.4067,2021,1,1,36.7
15687,0.3,2023,9,35,10.7
1119,0.0795,2019,1,4,12.8
1348,0.4231,2021,12,50,13.4
1269,0.1741,2021,9,39,52.5
15642,0.0394,2021,6,26,47.9
1092,0.3,2019,12,53,74
16833,0.0878,2021,2,7,55.2
15031,0.7198,2020,9,39,429.7
1251,0.7315,2021,6,26,14.9
2490,1.3602,2020,9,40,137.6
534,0.0922,2019,1,1,42.2
1420,0.5637,2021,4,18,66.7
2138,0.2668,2020,12,53,8.8
2124,0.5,2020,6,23,29.9
21482,1.2,2023,12,49,140.5
21510,1.1024,2023,10,42,134
936,0.521,2023,12,50,261.5
1002,0.0528,2020,6,24,88
2402,0.6185,2019,11,46,175.5
2714,0.4989,2021,9,38,108.7
2065,1.3158,2019,1,2,242.3
1896,0.5342,2019,3,10,22.2
2696,0.2714,2021,6,25,123.4
562,1.3,2022,3,13,63.2
2165,0.1919,2021,11,48,358.4
2742,0.1604,2019,8,35,16.3
656,0.1105,2019,7,29,17
1610,0.6082,2021,4,17,68.8
15864,0.6753,2022,6,24,25.8
666,1.1028,2020,11,45,247.7
2328,1.5,2020,12,52,128.7
1238,0.3529,2021,12,52,107.3
812,0.907,2020,6,25,82.7
1327,0.7936,2019,4,16,24.9
894,1.7957,2021,2,9,141.3
16533,0.1756,2020,4,18,96.1
772,0.2945,2021,3,12,14.4
15682,0.25,2019,5,21,24.5
2057,0.8984,2022,2,6,31.1
910,1.285,2020,5,21,254.1
2250,0.5231,2023,12,52,223
1476,0.1597,2019,7,30,79.3
17390,0.1431,2022,12,53,74.6
1463,0.7192,2019,2,7,75.9
1118,2.726,2021,3,11,28.9
2800,0.7192,2019,11,48,4.1
1010,0.1716,2021,10,44,21.5
2180,2,2021,8,36,127
2488,1.9928,2023,6,22,114.2
2330,0.5,2022,7,30,75.8
17229,0.0909,2021,4,18,62.7
17098,1.0752,2020,10,43,312.3
1086,0.4953,2023,10,40,122.8
2548,4.987,2021,8,36,290.1
19270,1.5194,2022,4,15,9.4
1117,2.5784,2022,10,40,71.3
2280,0.528,2023,3,10,261
1576,0.4044,2020,12,53,81.4
2211,0.1765,2020,8,36,8
2308,0.2709,2019,12,51,12.8
1493,0.5044,2019,9,36,276.2
17326,0.6322,2020,8,33,87.9
2050,0.6374,2022,7,29,244.9
2479,2.6708,2021,2,9,631.1
1009,0.2901,2019,6,23,22.1
755,0.2934,2020,10,41,85
2547,0.5965,2022,4,15,30.8
1389,0.3644,2020,6,26,94.9
724,0.6888,2021,10,41,267.6
2007,0.1819,2023,12,52,109.7
1359,1.075,2021,6,24,222.6
2185,0.267,2021,10,44,59.7
1599,0.2594,2019,9,38,52.8
17085,0.5625,2020,5,20,61.2
1043,0.3248,2021,3,14,58
15671,0.1453,2019,3,12,6
17112,0.445,2021,3,11,36.7
16630,0.6972,2019,5,20,124
